Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,LmtPrice,AuxPrice
BUY,19563,EVN,STK,ASX,AUD,DAY,MKT,,
BUY,12379,NST,STK,ASX,AUD,DAY,MKT,,
BUY,21030,RMS,STK,ASX,AUD,DAY,MKT,,
BUY,6055,GGP,STK,ASX,AUD,DAY,MKT,,
BUY,6091,CMM,STK,ASX,AUD,DAY,MKT,,
BUY,10486,GMD,STK,ASX,AUD,DAY,MKT,,
BUY,7737,WGX,STK,ASX,AUD,DAY,MKT,,
BUY,6056,RRL,STK,ASX,AUD,DAY,MKT,,
BUY,9133,VAU,STK,ASX,AUD,DAY,MKT,,
BUY,13925,BGL,STK,ASX,AUD,DAY,MKT,,
BUY,2500,RUP,STK,TSX,CAD,DAY,MKT,,
