Action,Quantity,Symbol,SecType,Exchange,Currency,TimeInForce,OrderType,LmtPrice,AuxPrice
BUY,15650,EVN,STK,ASX,AUD,DAY,MKT,,
BUY,9903,NST,STK,ASX,AUD,DAY,MKT,,
BUY,16824,RMS,STK,ASX,AUD,DAY,MKT,,
BUY,4844,GGP,STK,ASX,AUD,DAY,MKT,,
BUY,4873,CMM,STK,ASX,AUD,DAY,MKT,,
BUY,8389,GMD,STK,ASX,AUD,DAY,MKT,,
BUY,6189,WGX,STK,ASX,AUD,DAY,MKT,,
BUY,4845,RRL,STK,ASX,AUD,DAY,MKT,,
BUY,7306,VAU,STK,ASX,AUD,DAY,MKT,,
BUY,11140,BGL,STK,ASX,AUD,DAY,MKT,,
BUY,2000,RUP,STK,TSX,CAD,DAY,MKT,,
